movie_id;title;genres;poster_id
1;Toy Story (1995);Adventure|Animation|Children|Comedy|Fantasy;1
2;Jumanji (1995);Adventure|Children|Fantasy;2
3;Grumpier Old Men (1995);Comedy|Romance;3
4;Waiting to Exhale (1995);Comedy|Drama|Romance;4
5;Father of the Bride Part II (1995);Comedy;5
6;Heat (1995);Action|Crime|Thriller;6
7;Sabrina (1995);Comedy|Romance;7
8;Tom and Huck (1995);Adventure|Children;8
9;Sudden Death (1995);Action;9
10;GoldenEye (1995);Action|Adventure|Thriller;10
11;American President, The (1995);Comedy|Drama|Romance;11
12;Dracula: Dead and Loving It (1995);Comedy|Horror;12
13;Balto (1995);Adventure|Animation|Children;13
14;Nixon (1995);Drama;14
15;Cutthroat Island (1995);Action|Adventure|Romance;15
16;Casino (1995);Crime|Drama;16
17;Sense and Sensibility (1995);Drama|Romance;17
18;Four Rooms (1995);Comedy;18
19;Ace Ventura: When Nature Calls (1995);Comedy;19
20;Money Train (1995);Action|Comedy|Crime|Drama|Thriller;20
21;Get Shorty (1995);Comedy|Crime|Thriller;21
22;Copycat (1995);Crime|Drama|Horror|Mystery|Thriller;22
23;Assassins (1995);Action|Crime|Thriller;23
24;Powder (1995);Drama|Sci-Fi;24
25;Leaving Las Vegas (1995);Drama|Romance;25
26;Othello (1995);Drama;26
27;Now and Then (1995);Children|Drama;27
28;Persuasion (1995);Drama|Romance;28
29;City of Lost Children, The (Cité des enfants perdus, La) (1995);Adventure|Drama|Fantasy|Mystery|Sci-Fi;29
30;Shanghai Triad (Yao a yao yao dao waipo qiao) (1995);Crime|Drama;30
31;Dangerous Minds (1995);Drama;31
32;Twelve Monkeys (a.k.a. 12 Monkeys) (1995);Mystery|Sci-Fi|Thriller;32
34;Babe (1995);Children|Drama;34
36;Dead Man Walking (1995);Crime|Drama;36
38;It Takes Two (1995);Children|Comedy;38
39;Clueless (1995);Comedy|Romance;39
40;Cry, the Beloved Country (1995);Drama;40
41;Richard III (1995);Drama|War;41
42;Dead Presidents (1995);Action|Crime|Drama;42
43;Restoration (1995);Drama;43
44;Mortal Kombat (1995);Action|Adventure|Fantasy;44
45;To Die For (1995);Comedy|Drama|Thriller;45
46;How to Make an American Quilt (1995);Drama|Romance;46
47;Seven (a.k.a. Se7en) (1995);Mystery|Thriller;47
48;Pocahontas (1995);Animation|Children|Drama|Musical|Romance;48
49;When Night Is Falling (1995);Drama|Romance;49
50;Usual Suspects, The (1995);Crime|Mystery|Thriller;50
52;Mighty Aphrodite (1995);Comedy|Drama|Romance;52
53;Lamerica (1994);Adventure|Drama;53
54;Big Green, The (1995);Children|Comedy;54
55;Georgia (1995);Drama;55
57;Home for the Holidays (1995);Drama;57
58;Postman, The (Postino, Il) (1994);Comedy|Drama|Romance;58
60;Indian in the Cupboard, The (1995);Adventure|Children|Fantasy;60
61;Eye for an Eye (1996);Drama|Thriller;61
62;Mr. Holland's Opus (1995);Drama;62
63;Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996);Comedy|Crime;63
64;Two if by Sea (1996);Comedy|Romance;64
65;Bio-Dome (1996);Comedy;65
66;Lawnmower Man 2: Beyond Cyberspace (1996);Action|Sci-Fi|Thriller;66
68;French Twist (Gazon maudit) (1995);Comedy|Romance;68
69;Friday (1995);Comedy;69
70;From Dusk Till Dawn (1996);Action|Comedy|Horror|Thriller;70
71;Fair Game (1995);Action;71
72;Kicking and Screaming (1995);Comedy|Drama;72
73;Misérables, Les (1995);Drama|War;73
74;Bed of Roses (1996);Drama|Romance;74
75;Big Bully (1996);Comedy|Drama;75
76;Screamers (1995);Action|Sci-Fi|Thriller;76
77;Nico Icon (1995);Documentary;77
78;Crossing Guard, The (1995);Action|Crime|Drama|Thriller;78
79;Juror, The (1996);Drama|Thriller;79
80;White Balloon, The (Badkonake sefid) (1995);Children|Drama;80
81;Things to Do in Denver When You're Dead (1995);Crime|Drama|Romance;81
82;Antonia's Line (Antonia) (1995);Comedy|Drama;82
83;Once Upon a Time... When We Were Colored (1995);Drama|Romance;83
85;Angels and Insects (1995);Drama|Romance;85
86;White Squall (1996);Action|Adventure|Drama;86
87;Dunston Checks In (1996);Children|Comedy;87
88;Black Sheep (1996);Comedy;88
89;Nick of Time (1995);Action|Thriller;89
92;Mary Reilly (1996);Drama|Horror|Thriller;92
93;Vampire in Brooklyn (1995);Comedy|Horror|Romance;93
94;Beautiful Girls (1996);Comedy|Drama|Romance;94
95;Broken Arrow (1996);Action|Adventure|Thriller;95
96;In the Bleak Midwinter (1995);Comedy|Drama;96
97;Hate (Haine, La) (1995);Crime|Drama;97
99;Heidi Fleiss: Hollywood Madam (1995);Documentary;99
100;City Hall (1996);Drama|Thriller;100
101;Bottle Rocket (1996);Adventure|Comedy|Crime|Romance;101
102;Mr. Wrong (1996);Comedy;102
103;Unforgettable (1996);Mystery|Sci-Fi|Thriller;103
104;Happy Gilmore (1996);Comedy;104
105;Bridges of Madison County, The (1995);Drama|Romance;105
106;Nobody Loves Me (Keiner liebt mich) (1994);Comedy|Drama;106
107;Muppet Treasure Island (1996);Adventure|Children|Comedy|Musical;107
108;Catwalk (1996);Documentary;108
110;Braveheart (1995);Action|Drama|War;110
111;Taxi Driver (1976);Crime|Drama|Thriller;111
112;Rumble in the Bronx (Hont faan kui) (1995);Action|Adventure|Comedy|Crime;112
113;Before and After (1996);Drama|Mystery;113
116;Anne Frank Remembered (1995);Documentary;116
117;Young Poisoner's Handbook, The (1995);Crime|Drama;117
118;If Lucy Fell (1996);Comedy|Romance;118
119;Steal Big, Steal Little (1995);Comedy;119
121;Boys of St. Vincent, The (1992);Drama;121
122;Boomerang (1992);Comedy|Romance;122
123;Chungking Express (Chung Hing sam lam) (1994);Drama|Mystery|Romance;123
125;Flirting With Disaster (1996);Comedy;125
126;NeverEnding Story III, The (1994);Adventure|Children|Fantasy;126
128;Jupiter's Wife (1994);Documentary;128
129;Pie in the Sky (1996);Comedy|Romance;129
132;Jade (1995);Thriller;132
135;Down Periscope (1996);Comedy;135
137;Man of the Year (1995);Documentary;137
140;Up Close and Personal (1996);Drama|Romance;140
141;Birdcage, The (1996);Comedy;141
144;Brothers McMullen, The (1995);Comedy;144
145;Bad Boys (1995);Action|Comedy|Crime|Drama|Thriller;145
146;Amazing Panda Adventure, The (1995);Adventure|Children;146
147;Basketball Diaries, The (1995);Drama;147
148;Awfully Big Adventure, An (1995);Drama;148
149;Amateur (1994);Crime|Drama|Thriller;149
150;Apollo 13 (1995);Adventure|Drama|IMAX;150
151;Rob Roy (1995);Action|Drama|Romance|War;151
152;Addiction, The (1995);Drama|Horror;152
153;Batman Forever (1995);Action|Adventure|Comedy|Crime;153
154;Beauty of the Day (Belle de jour) (1967);Drama;154
155;Beyond Rangoon (1995);Adventure|Drama|War;155
156;Blue in the Face (1995);Comedy|Drama;156
157;Canadian Bacon (1995);Comedy|War;157
158;Casper (1995);Adventure|Children;158
159;Clockers (1995);Crime|Drama|Mystery;159
160;Congo (1995);Action|Adventure|Mystery|Sci-Fi;160
161;Crimson Tide (1995);Drama|Thriller|War;161
162;Crumb (1994);Documentary;162
163;Desperado (1995);Action|Romance|Western;163
164;Devil in a Blue Dress (1995);Crime|Film-Noir|Mystery|Thriller;164
165;Die Hard: With a Vengeance (1995);Action|Crime|Thriller;165
166;Doom Generation, The (1995);Comedy|Crime|Drama;166
168;First Knight (1995);Action|Drama|Romance;168
169;Free Willy 2: The Adventure Home (1995);Adventure|Children|Drama;169
170;Hackers (1995);Action|Adventure|Crime|Thriller;170
171;Jeffrey (1995);Comedy|Drama;171
172;Johnny Mnemonic (1995);Action|Sci-Fi|Thriller;172
173;Judge Dredd (1995);Action|Crime|Sci-Fi;173
174;Jury Duty (1995);Comedy;174
175;Kids (1995);Drama;175
176;Living in Oblivion (1995);Comedy;176
177;Lord of Illusions (1995);Horror;177
178;Love & Human Remains (1993);Comedy|Drama;178
179;Mad Love (1995);Drama|Romance;179
180;Mallrats (1995);Comedy|Romance;180
181;Mighty Morphin Power Rangers: The Movie (1995);Action|Children;181
183;Mute Witness (1994);Comedy|Horror|Thriller;183
184;Nadja (1994);Drama;184
185;Net, The (1995);Action|Crime|Thriller;185
186;Nine Months (1995);Comedy|Romance;186
187;Party Girl (1995);Comedy;187
188;Prophecy, The (1995);Fantasy|Horror|Mystery;188
189;Reckless (1995);Comedy|Fantasy;189
